127.0.0.1 - - [13/Mar/2026 01:35:57] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET /vendor/bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET /vendor/chart.umd.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET /gantt.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET /planner.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET /storage.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET /capacity.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET /ui.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET /analytics.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET /vendor/bootstrap.bundle.min.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:37:20] "GET /graph.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET /storage.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET /vendor/chart.umd.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET /planner.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET /gantt.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET /vendor/bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET /capacity.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET /ui.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET /vendor/bootstrap.bundle.min.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET /graph.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET /analytics.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 01:38:25] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET /vendor/bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET /planner.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET /vendor/chart.umd.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET /gantt.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET /storage.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET /analytics.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET /ui.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET /graph.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET /capacity.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 04:50:10] "GET /vendor/bootstrap.bundle.min.js HTTP/1.1" 200 -
